,user_id,face_beard,eyeglasses,HAPPY,ANGRY,SAD,CALM,CONFUSED,DISGUSTED,SURPRISED
0,1619510,23.666666666666664,94.66666666666666,43.65185185185185,11.044444444444444,24.71851851851852,19.45925925925926,27.348148148148148,3.6814814814814816,12.096296296296297
1,2829661,12.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,4.0
2,3069744,2.142857142857143,0.8571428571428571,1.0,0.2857142857142857,0.7142857142857142,0.42857142857142855,0.14285714285714285,0.14285714285714285,0.2857142857142857
3,3988856,9.423076923076923,7.538461538461539,15.076923076923078,3.7692307692307696,11.935897435897436,4.397435897435898,4.397435897435898,2.5128205128205128,6.910256410256411
4,6734387,7.0,16.0,11.666666666666666,4.0,6.333333333333333,4.333333333333334,4.0,2.666666666666667,2.0
5,7410944,27.123287671232877,13.561643835616438,27.575342465753423,12.205479452054794,14.465753424657533,3.6164383561643834,19.89041095890411,5.876712328767123,15.369863013698629
6,8854187,9.310679611650485,31.92233009708738,33.6957928802589,13.744336569579287,21.28155339805825,7.980582524271845,28.375404530744337,3.103559870550162,28.818770226537218
7,11520833,6.315789473684211,9.473684210526315,5.614035087719298,1.7543859649122806,4.2105263157894735,1.7543859649122806,2.1052631578947367,1.0526315789473684,3.508771929824561
8,13745951,10.75301204819277,14.33734939759036,26.797188755020077,8.704819277108433,12.459839357429718,7.51004016064257,14.849397590361447,6.315261044176706,8.363453815261044
9,18108188,0.75,1.5,1.0,0.25,0.25,0.5,0.25,0.0,0.75
10,18504643,0.0,1.7777777777777777,2.3703703703703702,0.5925925925925926,1.4814814814814814,0.8888888888888888,0.2962962962962963,0.0,2.3703703703703702
11,21697543,25.024390243902438,37.53658536585366,19.0,9.731707317073171,9.268292682926829,3.24390243902439,6.951219512195122,3.24390243902439,5.560975609756098
12,22180590,20.129032258064516,45.29032258064517,49.483870967741936,16.774193548387096,25.161290322580644,19.29032258064516,20.96774193548387,7.548387096774193,16.774193548387096
13,25469443,13.473684210526315,6.7368421052631575,20.210526315789473,3.3684210526315788,14.596491228070175,6.7368421052631575,8.982456140350877,4.491228070175438,5.614035087719298
14,30191588,1.2727272727272727,1.2727272727272727,2.333333333333333,0.21212121212121213,0.8484848484848485,1.0606060606060606,1.2727272727272727,0.8484848484848485,0.42424242424242425
15,30688353,0.0,0.0,3.6666666666666665,0.0,0.0,0.0,0.0,3.6666666666666665,3.6666666666666665
16,30738858,21.0,14.7,26.599999999999998,8.4,14.7,9.1,9.1,6.3,9.8
17,30837828,40.890566037735844,19.494339622641508,38.35471698113207,12.362264150943396,22.981132075471695,15.215094339622642,17.59245283018868,6.181132075471698,13.313207547169812
18,31447990,44.723076923076924,47.07692307692308,47.86153846153846,18.046153846153846,22.753846153846155,15.692307692307692,27.46153846153846,3.1384615384615384,18.046153846153846
19,31736205,5.875,12.925,15.275,4.7,9.008333333333335,3.525,7.05,2.7416666666666667,4.7
20,33420910,5.163934426229508,15.491803278688524,18.59016393442623,5.852459016393443,13.426229508196721,4.8196721311475414,9.295081967213115,2.0655737704918034,8.950819672131146
21,33746400,1.75,0.0,2.333333333333333,1.75,0.5833333333333333,1.1666666666666665,0.5833333333333333,0.5833333333333333,0.0
22,34069800,17.537366548042705,25.679715302491104,55.53499406880189,25.888493475682086,17.954922894424676,13.779359430604982,21.295373665480426,10.230130486358245,31.31672597864769
23,42566739,23.75,35.625,22.430555555555554,6.597222222222222,11.875,6.597222222222222,22.430555555555554,6.597222222222222,18.47222222222222
24,45655555,0.125,0.5,0.3333333333333333,0.08333333333333333,0.25,0.041666666666666664,0.041666666666666664,0.08333333333333333,0.16666666666666666
25,46329534,19.88888888888889,59.666666666666664,51.379629629629626,8.287037037037036,33.148148148148145,28.175925925925927,24.86111111111111,4.972222222222222,28.175925925925927
26,48972978,0.5227272727272727,2.6136363636363638,7.492424242424242,1.393939393939394,3.833333333333333,3.484848484848485,2.090909090909091,1.0454545454545454,3.659090909090909
27,49846561,10.714285714285715,4.285714285714286,5.0,3.571428571428571,2.142857142857143,0.7142857142857142,1.4285714285714284,0.0,2.142857142857143
28,50853245,7.587982832618026,26.266094420600858,42.60944206008584,12.257510729613735,24.320457796852647,15.175965665236053,13.619456366237483,6.2260371959942775,21.79113018597997
29,52590715,6.666666666666667,35.0,36.111111111111114,14.444444444444445,12.777777777777777,18.333333333333332,16.11111111111111,3.8888888888888884,13.333333333333334
30,53918317,6.708333333333334,4.791666666666667,6.069444444444445,1.5972222222222223,3.833333333333333,2.5555555555555554,2.875,1.2777777777777777,4.791666666666667
31,55281515,3.5,5.833333333333333,10.5,1.9444444444444444,6.611111111111111,5.055555555555555,5.444444444444445,2.3333333333333335,3.111111111111111
32,55520631,0.4375,0.4375,1.8958333333333333,0.7291666666666667,0.7291666666666667,0.4375,1.1666666666666665,0.29166666666666663,1.75
33,143763900,11.06060606060606,8.11111111111111,20.646464646464647,9.094276094276095,8.84848484848485,10.56902356902357,9.585858585858587,2.7037037037037037,11.552188552188552
34,143854846,14.720588235294116,19.25,24.534313725490193,7.549019607843137,15.852941176470587,5.661764705882353,8.303921568627452,4.529411764705882,10.568627450980394
35,145242840,19.25,38.5,61.833333333333336,22.166666666666668,43.75,18.083333333333332,24.5,8.166666666666666,31.5
36,183242721,1.0,1.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0
37,183823541,78.82162162162163,104.52432432432433,89.67387387387387,36.55495495495496,66.25585585585586,23.418018018018017,33.6990990990991,14.85045045045045,52.54774774774775
38,187539125,117.0,63.81818181818181,67.36363636363637,19.5,44.31818181818182,15.954545454545453,56.72727272727273,8.863636363636363,21.272727272727273
39,190011156,13.03125,30.40625,40.54166666666667,11.583333333333332,28.958333333333336,18.822916666666664,15.927083333333332,5.791666666666666,17.375
40,192872688,0.0,0.0,1.3333333333333333,0.0,0.0,1.3333333333333333,1.3333333333333333,0.0,0.0
41,195148027,33.04651162790698,16.186046511627907,17.53488372093023,6.9689922480620154,7.1937984496124034,3.5968992248062017,8.992248062015504,4.496124031007752,9.217054263565892
42,203407563,2.057142857142857,9.600000000000001,8.0,2.742857142857143,1.8285714285714287,2.742857142857143,5.257142857142857,0.4571428571428572,2.9714285714285715
43,206726006,10.857142857142856,10.857142857142856,11.46031746031746,4.222222222222222,6.031746031746032,2.4126984126984126,4.222222222222222,1.8095238095238093,7.841269841269841
44,224422697,0.8571428571428571,0.0,1.7142857142857142,0.2857142857142857,0.5714285714285714,0.5714285714285714,1.1428571428571428,0.8571428571428571,0.8571428571428571
45,235671446,378.36550308008214,196.81108829568788,214.10198494182066,90.01437371663245,142.3956194387406,52.38124572210815,110.86516084873375,26.444900752908968,106.79671457905543
46,242494547,4.378378378378379,2.9189189189189193,5.837837837837839,1.135135135135135,2.9189189189189193,3.4054054054054057,1.945945945945946,0.8108108108108107,1.945945945945946
47,242886474,9.473684210526315,4.7368421052631575,5.263157894736842,4.2105263157894735,5.789473684210526,3.6842105263157894,3.6842105263157894,0.5263157894736842,6.842105263157895
48,244047076,55.17213114754098,42.68032786885246,36.78142076502732,13.185792349726777,18.737704918032787,10.756830601092895,21.51366120218579,6.245901639344262,19.778688524590166
49,246095675,3.165467625899281,8.309352517985612,17.41007194244604,7.122302158273381,10.287769784172662,5.407673860911271,5.539568345323741,2.9016786570743403,6.330935251798562
50,249861555,38.17142857142857,116.1047619047619,108.15238095238095,26.507936507936506,67.86031746031746,36.05079365079365,41.352380952380955,11.663492063492063,42.41269841269841
51,262136545,16.142857142857142,28.698412698412696,35.27513227513227,10.761904761904761,25.70899470899471,10.761904761904761,11.359788359788359,5.3809523809523805,13.75132275132275
52,263042348,0.3529411764705882,0.3529411764705882,2.0,1.2941176470588236,1.4117647058823528,0.3529411764705882,0.3529411764705882,0.3529411764705882,0.23529411764705882
53,265063047,9.242718446601941,11.223300970873787,18.485436893203882,3.3009708737864076,12.323624595469257,10.343042071197411,10.563106796116504,2.200647249190938,10.783171521035598
54,275510681,4.0,12.0,4.0,1.3333333333333333,4.0,1.3333333333333333,4.0,2.6666666666666665,2.6666666666666665
